index,transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,is_anomalie,annee,mois,trimestre,semaine-jour,montant_eur_verifie,categorie_risque,total_credit,total_debit,solde_net,nb_transaction,montant_moyen,nb_produit,taux_rejet
0,TXN000559,CLI0060,2022-04-19 02:31:00,2050.42,EUR,1.0,2050.42,Depot especes,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,645.0,Premium,16415.1,False,2022,4,2,1,2050.42,Meduim,18004.8,-3594.34,21599.14,12,1200.87,7,5.57
1,TXN001154,CLI0057,2024-06-20 20:51:00,-123.66,GBP,0.86,-143.79,Retrait DAB,Credit Consommation,Bordeaux-Meriadeck,Debit,Rejete,435.0,Risque,42890.81,False,2024,6,2,3,-143.79,High,1791.74,-5203.97,6995.71,9,-379.14,7,4.59
2,TXN000764,CLI0015,2024-08-28 05:03:00,-396.17,EUR,1.0,-396.17,Prelevement,PEA,Lyon-Part-Dieu,Debit,Complete,648.0,Standard,48489.38,False,2024,8,3,2,-396.17,Meduim,3752.75,-7055.3,10808.05,11,-300.23,5,4.01
3,TXN001598,CLI0045,2024-01-07 08:16:00,225.2,EUR,1.0,225.2,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,704.0,Standard,43962.51,False,2024,1,1,6,225.2,Low,6754.81,-17480.49,24235.3,17,-630.92,7,4.59
4,TXN001873,CLI0034,2024-08-11 19:52:00,935.32,EUR,1.0,935.32,Interets,Credit Immobilier,Bordeaux-Meriadeck,Credit,Complete,457.0,Risque,17312.83,False,2024,8,3,6,935.32,High,5899.91,-5556.31,11456.22,13,26.43,6,4.59
5,TXN001864,CLI0061,2024-04-28 23:08:00,-256.73,CHF,0.97,-264.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Debit,Rejete,341.0,Risque,29211.28,True,2024,4,2,6,-264.67,High,13005.45,-11666.45,24671.9,13,103.0,6,5.57
6,TXN000931,CLI0118,2023-09-13 12:04:00,2752.67,EUR,1.0,2752.67,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Rejete,641.0,Standard,30331.51,False,2023,9,3,2,2752.67,Meduim,20363.32,-7236.89,27600.21,13,1009.73,7,4.21
7,TXN000620,CLI0005,2023-10-06 03:29:00,1962.49,EUR,1.0,1962.49,Remboursement credit,Livret A,Lille-Grand-Place,Credit,Complete,694.0,Standard,46954.33,False,2023,10,4,4,1962.49,Meduim,3442.41,-9816.9,13259.31,9,-708.28,6,4.21
8,TXN000581,CLI0064,2022-10-24 11:30:00,363.52,GBP,0.86,422.7,Paiement CB,Compte Courant,Lille-Grand-Place,Credit,Complete,800.0,Premium,45270.95,False,2022,10,4,0,422.7,Low,6827.18,-11352.41,18179.59,16,-282.83,6,4.21
9,TXN000726,CLI0085,2022-04-21 21:15:00,6451.32,EUR,1.0,6451.32,Virement international,Credit Consommation,Toulouse-Capitole,Credit,Complete,390.0,Risque,19136.15,True,2022,4,2,3,6451.32,High,9618.88,-21210.13,30829.01,16,-724.45,8,6.81
